ik,level5,level1_description,level2_description,level3_description,IK14
RCINICONZNJXQF-MZXODVADSA-N,L01CD01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,RCINICONZNJXQF
UREBDLICKHMUKA-DVTGEIKXSA-N,A07EA04,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,UREBDLICKHMUKA
UREBDLICKHMUKA-DVTGEIKXSA-N,R01AD06,RESPIRATORY SYSTEM,NASAL PREPARATIONS,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE,UREBDLICKHMUKA
XMXHEBAFVSFQEX-UHFFFAOYSA-N,N05AX14,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,XMXHEBAFVSFQEX
OIRDTQYFTABQOQ-UHTZMRCNSA-N,J05AB03,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,OIRDTQYFTABQOQ
DDLIGBOFAVUZHB-UHFFFAOYSA-N,N05CD08,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,DDLIGBOFAVUZHB
JTEGQNOMFQHVDC-NKWVEPMBSA-N,J05AF05,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,JTEGQNOMFQHVDC
UHDGCWIWMRVCDJ-CCXZUQQUSA-N,L01BC01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,UHDGCWIWMRVCDJ
PQJQFLNBMSCUSH-SBAJWEJLSA-N,J01AA14,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,PQJQFLNBMSCUSH
OEKWJQXRCDYSHL-FNOIDJSQSA-N,B01AC24,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,OEKWJQXRCDYSHL
WXJFKKQWPMNTIM-VWLOTQADSA-N,J05AB17,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,WXJFKKQWPMNTIM
OURRXQUGYQRVML-AREMUKBSSA-N,S01EX05,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,OURRXQUGYQRVML
NBRBXGKOEOGLOI-UHFFFAOYSA-N,J05AP09,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,NBRBXGKOEOGLOI
JFOZKMSJYSPYLN-QHCPKHFHSA-N,S01XA25,SENSORY ORGANS,OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,JFOZKMSJYSPYLN
NLVFBUXFDBBNBW-PBSUHMDJSA-N,S01AA12,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,NLVFBUXFDBBNBW
DKYWVDODHFEZIM-NSHDSACASA-N,M01AE17,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",DKYWVDODHFEZIM
DKYWVDODHFEZIM-NSHDSACASA-N,M02AA27,MUSCULO-SKELETAL SYSTEM,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,DKYWVDODHFEZIM
OZWKMVRBQXNZKK-UHFFFAOYSA-N,M01AB15,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",OZWKMVRBQXNZKK
LCDDAGSJHKEABN-MLGOLLRUSA-N,A10BH07,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",LCDDAGSJHKEABN
QZFHIXARHDBPBY-UHFFFAOYSA-N,C01DX22,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,VASODILATORS USED IN CARDIAC DISEASES,QZFHIXARHDBPBY
RUEYEZADQJCKGV-UHFFFAOYSA-N,B03XA07,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,OTHER ANTIANEMIC PREPARATIONS,RUEYEZADQJCKGV
HMABYWSNWIZPAG-UHFFFAOYSA-N,L01XK03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,HMABYWSNWIZPAG
SFNSLLSYNZWZQG-VQIMIIECSA-N,L01XJ03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,SFNSLLSYNZWZQG
XZXHXSATPCNXJR-ZIADKAODSA-N,L01EX09,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,XZXHXSATPCNXJR
DREIJXJRTLTGJC-ZLBJMMTISA-N,L04AF06,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,DREIJXJRTLTGJC
USSIQXCVUWKGNF-QGZVFWFLSA-N,N07BC05,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,USSIQXCVUWKGNF
HTIQEAQVCYTUBX-KRWDZBQOSA-N,C08CA17,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,HTIQEAQVCYTUBX
OCJYIGYOJCODJL-UHFFFAOYSA-N,R06AE05,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,OCJYIGYOJCODJL
SYOKIDBDQMKNDQ-XWTIBIIYSA-N,A10BH02,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",SYOKIDBDQMKNDQ
MYSWGUAQZAJSOK-UHFFFAOYSA-N,S01AE03,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFECTIVES,MYSWGUAQZAJSOK
SGEIEGAXKLMUIZ-XUVDNFPMSA-N,N07XX17,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,OTHER NERVOUS SYSTEM DRUGS,SGEIEGAXKLMUIZ
LIRYPHYGHXZJBZ-UHFFFAOYSA-N,L01EE01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,LIRYPHYGHXZJBZ
DYKFCLLONBREIL-KVUCHLLUSA-N,J01AA08,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,DYKFCLLONBREIL
AYXYPKUFHZROOJ-ZETCQYMHSA-N,N02BF02,NERVOUS SYSTEM,ANALGESICS,OTHER ANALGESICS AND ANTIPYRETICS,AYXYPKUFHZROOJ
OIRDTQYFTABQOQ-KQYNXXCUSA-N,C01EB10,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,OIRDTQYFTABQOQ
RYYVLZVUVIJVGH-UHFFFAOYSA-N,D11AX26,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,RYYVLZVUVIJVGH
IYDYFVUFSPQPPV-PEXOCOHZSA-N,J01GB14,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,AMINOGLYCOSIDE ANTIBACTERIALS,IYDYFVUFSPQPPV
OLBCVFGFOZPWHH-UHFFFAOYSA-N,N01AX10,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",OLBCVFGFOZPWHH
NGBFQHCMQULJNZ-UHFFFAOYSA-N,C03CA04,CARDIOVASCULAR SYSTEM,DIURETICS,HIGH-CEILING DIURETICS,NGBFQHCMQULJNZ
WZOZEZRFJCJXNZ-ZBFHGGJFSA-N,J01DC01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,WZOZEZRFJCJXNZ
YTKUWDBFDASYHO-UHFFFAOYSA-N,L01AA09,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,YTKUWDBFDASYHO
RZVAJINKPMORJF-UHFFFAOYSA-N,N02BE71,NERVOUS SYSTEM,ANALGESICS,OTHER ANALGESICS AND ANTIPYRETICS,RZVAJINKPMORJF
FEBLZLNTKCEFIT-VSXGLTOVSA-N,C05AA10,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,FEBLZLNTKCEFIT
UHSKFQJFRQCDBE-UHFFFAOYSA-N,N04BC04,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,UHSKFQJFRQCDBE
HPJKCIUCZWXJDR-UHFFFAOYSA-N,L02BG04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,HPJKCIUCZWXJDR
WSEQXVZVJXJVFP-UHFFFAOYSA-N,N06AB04,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,WSEQXVZVJXJVFP
CTPOHARTNNSRSR-APJZLKAGSA-N,B01AC19,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,CTPOHARTNNSRSR
GJSURZIOUXUGAL-UHFFFAOYSA-N,N02CX02,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,GJSURZIOUXUGAL
GJSURZIOUXUGAL-UHFFFAOYSA-N,S01EA04,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,GJSURZIOUXUGAL
IAKHMKGGTNLKSZ-INIZCTEOSA-N,M04AC01,MUSCULO-SKELETAL SYSTEM,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS,IAKHMKGGTNLKSZ
HXGBXQDTNZMWGS-RUZDIDTESA-N,G04BD10,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,HXGBXQDTNZMWGS
UREBDLICKHMUKA-CXSFZGCWSA-N,D07AB19,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, PLAIN",UREBDLICKHMUKA
UREBDLICKHMUKA-CXSFZGCWSA-N,D10AA03,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,UREBDLICKHMUKA
UREBDLICKHMUKA-CXSFZGCWSA-N,S01CB01,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,UREBDLICKHMUKA
QRXWMOHMRWLFEY-UHFFFAOYSA-N,J04AC01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOBACTERIALS,DRUGS FOR TREATMENT OF TUBERCULOSIS,QRXWMOHMRWLFEY
VAOCPAMSLUNLGC-UHFFFAOYSA-N,P01AB01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,VAOCPAMSLUNLGC
RJKFOVLPORLFTN-LEKSSAKUSA-N,G03DA04,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,RJKFOVLPORLFTN
KHOITXIGCFIULA-UHFFFAOYSA-N,A06AG02,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,KHOITXIGCFIULA
FBPFZTCFMRRESA-KVTDHHQDSA-N,R05CB16,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",FBPFZTCFMRRESA
IMOZEMNVLZVGJZ-QGZVFWFLSA-N,L04AA32,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,IMOZEMNVLZVGJZ
XSVMFMHYUFZWBK-NSHDSACASA-N,N06DA03,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTI-DEMENTIA DRUGS,XSVMFMHYUFZWBK
VSZGPKBBMSAYNT-RRFJBIMHSA-N,J05AH02,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,VSZGPKBBMSAYNT
LZCDAPDGXCYOEH-UHFFFAOYSA-N,D10AD03,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,LZCDAPDGXCYOEH
WOFMFGQZHJDGCX-ZULDAHANSA-N,R03BA07,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",WOFMFGQZHJDGCX
SYTBZMRGLBWNTM-UHFFFAOYSA-N,M01AE09,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",SYTBZMRGLBWNTM
FSVJFNAIGNNGKK-UHFFFAOYSA-N,P02BA01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTITREMATODALS,FSVJFNAIGNNGKK
QNZCBYKSOIHPEH-UHFFFAOYSA-N,B01AF02,BLOOD AND BLOOD FORMING ORGANS,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,QNZCBYKSOIHPEH
DFEYYRMXOJXZRJ-UHFFFAOYSA-N,N01AB08,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL",DFEYYRMXOJXZRJ
UBQNRHZMVUUOMG-UHFFFAOYSA-N,N03AX15,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,UBQNRHZMVUUOMG
NEMGRZFTLSKBAP-LBPRGKRZSA-N,N04BD03,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,NEMGRZFTLSKBAP
DUGOZIWVEXMGBE-UHFFFAOYSA-N,N06BA04,NERVOUS SYSTEM,PSYCHOANALEPTICS,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",DUGOZIWVEXMGBE
XUFQPHANEAPEMJ-UHFFFAOYSA-N,A02BA53,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),XUFQPHANEAPEMJ
OBWASQILIWPZMG-QZMOQZSNSA-N,A10BK03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",OBWASQILIWPZMG
GFNANZIMVAIWHM-OBYCQNJPSA-N,A01AC01,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,GFNANZIMVAIWHM
YIQPUIGJQJDJOS-UHFFFAOYSA-N,L03AX16,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,YIQPUIGJQJDJOS
JIVPVXMEBJLZRO-UHFFFAOYSA-N,C03BA04,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, EXCL. THIAZIDES",JIVPVXMEBJLZRO
ACWBQPMHZXGDFX-QFIPXVFZSA-N,C09CA03,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",ACWBQPMHZXGDFX
ULXXDDBFHOBEHA-CWDCEQMOSA-N,L01EB03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,ULXXDDBFHOBEHA
XDXWLKQMMKQXPV-QYQHSDTDSA-N,B02BX05,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,XDXWLKQMMKQXPV
UFNVPOGXISZXJD-JBQZKEIOSA-N,L01XX41,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,UFNVPOGXISZXJD
PWWVAXIEGOYWEE-UHFFFAOYSA-N,R06AD02,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,PWWVAXIEGOYWEE
VLCYCQAOQCDTCN-UHFFFAOYSA-N,L01XX79,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,OTHER ANTINEOPLASTIC AGENTS,VLCYCQAOQCDTCN
VLCYCQAOQCDTCN-UHFFFAOYSA-N,P01CX03,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,VLCYCQAOQCDTCN
GJPICJJJRGTNOD-UHFFFAOYSA-N,C02KX01,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,OTHER ANTIHYPERTENSIVES,GJPICJJJRGTNOD
XPOQHMRABVBWPR-ZDUSSCGKSA-N,J05AG03,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,XPOQHMRABVBWPR
HFNKQEVNSGCOJV-OAHLLOKOSA-N,D11AH09,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,HFNKQEVNSGCOJV
HYAFETHFCAUJAY-UHFFFAOYSA-N,A10BG03,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",HYAFETHFCAUJAY
OROAFUQRIXKEMV-LDADJPATSA-N,C09CA02,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II RECEPTOR BLOCKERS (ARBs), PLAIN",OROAFUQRIXKEMV
GKCBAIGFKIBETG-UHFFFAOYSA-N,N01BA03,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, LOCAL",GKCBAIGFKIBETG
HLFSDGLLUJUHTE-SNVBAGLBSA-N,P02CE01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,HLFSDGLLUJUHTE
YREYEVIYCVEVJK-UHFFFAOYSA-N,A02BC54,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),YREYEVIYCVEVJK
NNJVILVZKWQKPM-UHFFFAOYSA-N,S02DA01,SENSORY ORGANS,OTOLOGICALS,OTHER OTOLOGICALS,NNJVILVZKWQKPM
UCTWMZQNUQWSLP-VIFPVBQESA-N,R03AK01,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",UCTWMZQNUQWSLP
USSIQXCVUWKGNF-UHFFFAOYSA-N,N07BC02,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,USSIQXCVUWKGNF
VGKDLMBJGBXTGI-SJCJKPOMSA-N,N06AB06,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,VGKDLMBJGBXTGI
ZZVUWRFHKOJYTH-UHFFFAOYSA-N,R06AA02,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,ZZVUWRFHKOJYTH
STECJAGHUSJQJN-FWXGHANASA-N,A04AD51,ALIMENTARY TRACT AND METABOLISM,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,STECJAGHUSJQJN
STECJAGHUSJQJN-FWXGHANASA-N,N05CM05,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,STECJAGHUSJQJN
ZRVUJXDFFKFLMG-UHFFFAOYSA-N,M01AC06,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",ZRVUJXDFFKFLMG
OIGNJSKKLXVSLS-VWUMJDOOSA-N,A01AC54,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,OIGNJSKKLXVSLS
OIGNJSKKLXVSLS-VWUMJDOOSA-N,S01BA04,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,OIGNJSKKLXVSLS
OIGNJSKKLXVSLS-VWUMJDOOSA-N,S01CB02,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,OIGNJSKKLXVSLS
CYHWMBVXXDIZNZ-KRWDZBQOSA-N,N05CD14,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,CYHWMBVXXDIZNZ
SONNWYBIRXJNDC-VIFPVBQESA-N,C01CA06,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES,SONNWYBIRXJNDC
SONNWYBIRXJNDC-VIFPVBQESA-N,S01GA55,SENSORY ORGANS,OPHTHALMOLOGICALS,DECONGESTANTS AND ANTIALLERGICS,SONNWYBIRXJNDC
HHZIURLSWUIHRB-UHFFFAOYSA-N,L01EA03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,HHZIURLSWUIHRB
NDAUXUAQIAJITI-UHFFFAOYSA-N,R03AC02,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"ADRENERGICS, INHALANTS",NDAUXUAQIAJITI
NDAUXUAQIAJITI-UHFFFAOYSA-N,R03CC02,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,ADRENERGICS FOR SYSTEMIC USE,NDAUXUAQIAJITI
IEDVJHCEMCRBQM-UHFFFAOYSA-N,J01EA01,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,SULFONAMIDES AND TRIMETHOPRIM,IEDVJHCEMCRBQM
PMRYVIKBURPHAH-UHFFFAOYSA-N,H03BB02,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",THYROID THERAPY,ANTITHYROID PREPARATIONS,PMRYVIKBURPHAH
GDLIGKIOYRNHDA-UHFFFAOYSA-N,N06AA04,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,GDLIGKIOYRNHDA
SNPPWIUOZRMYNY-UHFFFAOYSA-N,N06AX12,NERVOUS SYSTEM,PSYCHOANALEPTICS,ANTIDEPRESSANTS,SNPPWIUOZRMYNY
VIKNJXKGJWUCNN-XGXHKTLJSA-N,G03DC02,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS,VIKNJXKGJWUCNN
JZUFKLXOESDKRF-UHFFFAOYSA-N,C03AA03,CARDIOVASCULAR SYSTEM,DIURETICS,"LOW-CEILING DIURETICS, THIAZIDES",JZUFKLXOESDKRF
VHOGYURTWQBHIL-UHFFFAOYSA-N,L04AK01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,VHOGYURTWQBHIL
JYGXADMDTFJGBT-VWUMJDOOSA-N,C05AA01,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,JYGXADMDTFJGBT
JYGXADMDTFJGBT-VWUMJDOOSA-N,H02AB09,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",JYGXADMDTFJGBT
HPNSFSBZBAHARI-RUDMXATFSA-N,L04AA06,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,HPNSFSBZBAHARI
UREBDLICKHMUKA-DVTGEIKXSA-N,C05AA05,CARDIOVASCULAR SYSTEM,VASOPROTECTIVES,AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE,UREBDLICKHMUKA
NCEXYHBECQHGNR-QZQOTICOSA-N,A07EC01,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,NCEXYHBECQHGNR
MJIHNNLFOKEZEW-RUZDIDTESA-N,A02BC06,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR ACID RELATED DISORDERS,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),MJIHNNLFOKEZEW
OPXLLQIJSORQAM-UHFFFAOYSA-N,P02CA01,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,OPXLLQIJSORQAM
KDGFLJKFZUIJMX-UHFFFAOYSA-N,L01ED03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,PROTEIN KINASE INHIBITORS,KDGFLJKFZUIJMX
PSGAAPLEWMOORI-PEINSRQWSA-N,G03AC06,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,PSGAAPLEWMOORI
