ik14,target_gene,action_type,mechanism_of_action
TYZROVQLWOKYKF,rpsI,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplJ,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplK,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplM,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplN,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplO,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplP,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplQ,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplR,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplS,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplA,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplT,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplU,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplV,INHIBITOR,Bacterial 70S ribosome inhibitor
TYZROVQLWOKYKF,rplW,INHIBITOR,Bacterial 70S ribosome inhibitor
