NCT_ID,Drug_Clean,Disease,endpoint_readout,endpoint_organ,drug_organ,endpoint_mech_category,is_on_mech_surrogate,is_surrogate_pass
NCT01223352,bosentan,pulmonary arterial hypertension,BIOMARKER,other,cardiac,ambiguous,0,0
NCT01423292,bupivacaine,Laparoscopic Colecctomy,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01395290,vitamin D3,Diabetes,other,other,metabolic,ambiguous,0,0
NCT01401465,ciclesonide,perennial allergic rhinitis,CLINICAL_EVENT,other,respiratory,clinical_off_or_other,0,0
NCT01392677,dapagliflozin,Type 2 Diabetes,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01328041,dolutegravir,infection,BIOMARKER,other,infection,ambiguous,0,0
NCT01504178,duloxetine,Parkinson's Disease,BIOMARKER,cns,cns,on_mech_surrogate,1,1
NCT01352117,etoposide,HIV-1 Infection; Kaposi's Sarcoma,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01372150,fluoxetine,Major Depressive Disorder,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01431950,fluticasone furoate,asthma,ORGAN_FUNCTION,respiratory,respiratory,on_mech_surrogate,1,1
NCT01231347,gemcitabine,Adenocarcinoma of the Pancreas; Advanced Solid Tumors; Cancer; Cancer of Pancreas; Cancer of the Pancreas; Metastases; Metastatic Cancer; Metastatic Pancreatic Cancer; Pancreas Cancer; Pancreatic Cancer; Bone Metastases; Endocrine Cancer; Oncology; Oncology Patients; Solid Tumors; Advanced Malignancy,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01345058,lacosamide,Epilepsy,other,cns,cns,ambiguous,0,0
NCT01422876,linagliptin,Type 2 Diabetes,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01290939,lomustine,glioblastoma multiforme,CLINICAL_EVENT,oncology,oncology,clinical_on_mech,0,0
NCT01505426,metformin,Diabetes,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01235507,methotrexate,Rheumatoid Arthritis,other,other,oncology,ambiguous,0,0
NCT01353859,methotrexate,Rheumatoid Arthritis,BIOMARKER,other,oncology,ambiguous,0,0
NCT01470053,mometasone furoate,perennial allergic rhinitis,SYMPTOM_SCALE,other,derm,ambiguous,0,0
NCT01316107,nateglinide,type 2 diabetes mellitus,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01499134,nebivolol,Hypertension,SYMPTOM_SCALE,cns,cardiac,off_mech,0,0
NCT01311687,pomalidomide,Multiple Myeloma,CLINICAL_EVENT,hematologic,oncology,clinical_off_or_other,0,0
NCT01324947,pomalidomide,Multiple Myeloma,BIOMARKER,hematologic,oncology,off_mech,0,0
NCT01376349,prasterone,Postmenopausal Cancer,SYMPTOM_SCALE,other,metabolic,ambiguous,0,0
NCT01330381,prucalopride,functional constipation,other,other,metabolic,ambiguous,0,0
NCT01306721,pseudoephedrine,seasonal allergic rhinitis,SYMPTOM_SCALE,other,respiratory,ambiguous,0,0
NCT01370642,ribavirin,hepatitis C virus infection,BIOMARKER,other,infection,ambiguous,0,0
NCT01405560,ribavirin,hepatitis C virus infection,BIOMARKER,other,infection,ambiguous,0,0
NCT01405937,ribavirin,hepatitis C virus infection,BIOMARKER,other,infection,ambiguous,0,0
NCT01296412,sitagliptin,"Diabetes Mellitus, Type 2",BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01198145,sulfasalazine,With Cancer,SYMPTOM_SCALE,other,metabolic,ambiguous,0,0
NCT01435655,tafamidis,transthyretin amyloid polyneuropathy,BIOMARKER,other,cns,ambiguous,0,0
NCT01430754,tasimelteon,non-24-hour sleep-wake disorder,other,other,cns,ambiguous,0,0
NCT01301833,teneligliptin,Type 2 Diabetes,SYMPTOM_SCALE,other,metabolic,ambiguous,0,0
NCT01294787,tiotropium,Chronic Obstructive Pulmonary Disease,other,other,unk,ambiguous,0,0
NCT01431274,tiotropium,Chronic Obstructive Pulmonary Disease,ORGAN_FUNCTION,respiratory,unk,off_mech,0,0
NCT01431287,tiotropium,Chronic Obstructive Pulmonary Disease,ORGAN_FUNCTION,respiratory,unk,off_mech,0,0
NCT01357252,vildagliptin,Type 2 Diabetes,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01115673,acetaminophen,Pain,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01216163,acetaminophen,Pain,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT04704713,afamelanotide,polymorphic light eruption,SYMPTOM_SCALE,other,derm,ambiguous,0,0
NCT01235637,alfentanil,Child Comfort; Morphine; Intensive Care Units; Pediatric,SYMPTOM_SCALE,cns,cns,ambiguous,0,0
NCT01151410,aliskiren,Hypertension,BIOMARKER,cardiac,cardiac,on_mech_surrogate,1,1
NCT01318395,aliskiren,pulmonary arterial hypertension,other,other,cardiac,ambiguous,0,0
NCT01715207,aliskiren,Marfan syndrome,BIOMARKER,cardiac,cardiac,on_mech_surrogate,1,1
NCT01092221,allopurinol,mania,other,other,msk,ambiguous,0,0
NCT01101035,allopurinol,cardiovascular disease,CLINICAL_EVENT,cardiac,msk,clinical_off_or_other,0,0
NCT01289119,alogliptin,Type 2 Diabetes,BIOMARKER,metabolic,metabolic,on_mech_surrogate,1,1
NCT01224210,ambrisentan,portopulmonary hypertension,other,cardiac,cardiac,ambiguous,0,0
NCT01173809,amiodarone,atrial fibrillation,CLINICAL_EVENT,other,cardiac,clinical_off_or_other,0,0
NCT01194219,apremilast,plaque psoriasis,BIOMARKER,oncology,oncology,on_mech_surrogate,1,1
