IK14,Disease,topo_upstream,topo_downstream,topo_net,topo_outdeg,kegg_shared,kegg_frac,ot_genetic_association,ot_genetic_literature,ot_somatic_mutation,ot_affected_pathway,ot_animal_model,ot_rna_expression,clingen,in_module,coverage_disease,coverage_drug,direct_target_max,direct_target_mean,direct_target_n_engaged_05,direct_target_n_genes_matched
MLDQJTXFUGDVEO,Hepatocellular Carcinoma,0.8666666666666667,0.7666666666666667,0.1,20.0,59,1.0,0.18237923928348632,0.0,0.5319394479101685,0.0,0.0,0.0,5,1,1,1,0.9428679,0.6735312615,8.0,10
JZRWCGZRTZMZEH,Heart Failure,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0.35770872,0.19876812279999997,0.0,10
UZWDCWONPYILKI,Breast Cancer,0.7333333333333333,0.6666666666666666,0.06666666666666667,24.0,29,1.0,0.0,0.0,0.8699743018321302,0.3981682350153665,0.0,0.0,5,1,1,1,0.1955114,0.0532570302,0.0,10
UZWDCWONPYILKI,Metastatic Breast Cancer,0.7333333333333333,0.6666666666666666,0.06666666666666667,24.0,29,1.0,0.0,0.0,0.8699743018321302,0.3981682350153665,0.0,0.0,5,1,1,1,0.1955114,0.0532570302,0.0,10
UZWDCWONPYILKI,Prostate Cancer,0.6666666666666666,0.43333333333333335,0.23333333333333334,24.0,27,0.9310344827586207,0.0,0.0,0.7219178221638001,0.0,0.0,0.0,5,0,1,1,0.1955114,0.026299824500000003,0.0,10
UZWDCWONPYILKI,Advanced Breast Cancer,0.7333333333333333,0.6666666666666666,0.06666666666666667,24.0,29,1.0,0.0,0.0,0.8699743018321302,0.3981682350153665,0.0,0.0,5,1,1,1,0.1955114,0.0532570302,0.0,10
UVIQSJCZCSLXRZ,Prostate Cancer Metastatic,0.0,0.2,-0.2,0.0,6,1.0,0.0,0.0,0.0,0.7599134970145264,0.0,0.0,0,1,1,1,0.524916,0.1272685023,1.0,10
UVIQSJCZCSLXRZ,Metastatic Prostate Cancer,0.0,0.23333333333333334,-0.23333333333333334,0.0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1,0.92830515,0.389190654,1.0,10
WDENQIQQYWYTPO,Mantle Cell Lymphoma,0.3333333333333333,0.16666666666666666,0.16666666666666666,26.0,7,1.0,0.0,0.0,0.4559480982087158,0.607930797611621,0.0,0.0,5,1,1,1,0.9676359,0.1771121571,1.0,10
WDENQIQQYWYTPO,Diffuse Large B-Cell Lymphoma,0.6666666666666666,0.4,0.26666666666666666,26.0,5,0.7142857142857143,0.0,0.0,0.5288997939221103,0.0,0.0,0.0,5,0,1,1,0.15278403,0.0565440248,0.0,10
