row_idx,NCT_ID,Drug,SMILES,tdc_dili,tdc_ames,tdc_carcinogen,tdc_skin_reaction
2087,NCT02283853,dimethyl fumarate,COC(=O)/C=C/C(=O)OC,0.1860958380066349,0.20905578348031875,0.47522561471467745,0.6077870967650357
2088,NCT02579681,dimethyl fumarate,COC(=O)/C=C/C(=O)OC,0.1860958380066349,0.20905578348031875,0.47522561471467756,0.6077870967650357
2089,NCT02263326,dolutegravir,C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,0.6988937117996903,0.48163907156512475,0.17590333350811918,0.431514262342337
2090,NCT02026349,favipiravir,NC(=O)c1nc(F)cnc1O,0.6871997657132347,0.3197597625358307,0.49395130330233933,0.4511651356739223
2091,NCT02135419,fluorouracil,O=c1[nH]cc(F)c(=O)[nH]1,0.7723931247240251,0.3050726837439088,0.39003525980009274,0.5533883046598673
2092,NCT01647932,hydrochlorothiazide,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,0.856402390672785,0.15677183207945508,0.40037399007906876,0.4602686469896321
2093,NCT02135419,imiquimod,CC(C)Cn1cnc2c(N)nc3ccccc3c21,0.656396655403872,0.5964804514167337,0.43799889473996834,0.4779421021513657
2094,NCT02263326,lamivudine,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,0.8751743061644943,0.32979609777884067,0.2039676785986991,0.4712951816398614
2095,NCT02369965,lamivudine,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,0.8751743061644943,0.32979609777884067,0.2039676785986991,0.4712951816398614
2096,NCT02316899,linaclotide,C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@@H]2CSSC[C@H](N)C(=O)N[C@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)CSSC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC3=O)C(=O)N2,0.44208258840183895,0.4194840365107143,0.1927206549098179,0.27365255215136675
