aact_name,pref_name,ik14,standard_inchi_key
Mecamylamine hydrochloride (Inversine),MECAMYLAMINE,IMYZQPCYWPFTAG,IMYZQPCYWPFTAG-UHFFFAOYSA-N
IDEA-033 (and rescue medication),KETOPROFEN,DKYWVDODHFEZIM,DKYWVDODHFEZIM-UHFFFAOYSA-N
Carnitine (drug),CARNITINE,PHIQHXFUZVPYII,PHIQHXFUZVPYII-UHFFFAOYSA-N
Adriamycin®,DOXORUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-RUELKSSGSA-N
Combivent (Ipratropium/Albuterol),ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
Lansoprazole Tablet,LANSOPRAZOLE,MJIHNNLFOKEZEW,MJIHNNLFOKEZEW-UHFFFAOYSA-N
Concerta®,METHYLPHENIDATE HYDROCHLORIDE,JUMYIBMBTDDLNG,JUMYIBMBTDDLNG-UHFFFAOYSA-N
oral escitalopram,ESCITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-FQEVSTJZSA-N
CEP-10953 (Armodafinil),ARMODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-LJQANCHMSA-N
dexmethylphenidate(d-mph),DEXMETHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-CHWSQXEVSA-N
Citalopram (Celexa),CITALOPRAM,WSEQXVZVJXJVFP,WSEQXVZVJXJVFP-UHFFFAOYSA-N
BETOPTIC S (betaxolol HCl),BETAXOLOL HYDROCHLORIDE,CHDPSNLJFOQTRK,CHDPSNLJFOQTRK-UHFFFAOYSA-N
BETAXON (levobetaxolol HCl),LEVOBETAXOLOL HYDROCHLORIDE,CHDPSNLJFOQTRK,CHDPSNLJFOQTRK-LMOVPXPDSA-N
arformoterol tartrate inhalation solution,ARFORMOTEROL,BPZSYCZIITTYBL,BPZSYCZIITTYBL-YJYMSZOUSA-N
doxorubicin intravenous,DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
Mirapex (pramipexole),PRAMIPEXOLE DIHYDROCHLORIDE,APVQOOKHDZVJEX,APVQOOKHDZVJEX-QTPLPEIMSA-N
BAY 43-9006 (Sorafenib),SORAFENIB,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO-UHFFFAOYSA-N
milnacipran hydrochloride,"1R,2S-MILNACIPRAN",GJJFMKBJSRMPLA,GJJFMKBJSRMPLA-HIFRSBDPSA-N
iobenguane I 131,IOBENGUANE I 131,PDWUPXJEEYOOTR,PDWUPXJEEYOOTR-JRGAVVOBSA-N
Emtriva (emtricitabine),EMTRICITABINE,XQSPYNMVSIKCOC,XQSPYNMVSIKCOC-NTSWFWBYSA-N
Doxorubicin hydrochloride (DOXIL/CAELYX),DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
Modafinil (M),MODAFINIL,YFGHCGITMMYXAQ,YFGHCGITMMYXAQ-UHFFFAOYSA-N
Capsaicin (Intramucosal Injection),CAPSAICIN,YKPUWZUDDOIDPM,YKPUWZUDDOIDPM-SOFGYWHQSA-N
Doxorubicin HCl Inhalation Solution,DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
Doxorubicin hydrochloride (DOX),DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
Doxorubicin Hydrochloride (DOX),DOXORUBICIN,AOJJSUZBOXZQNB,AOJJSUZBOXZQNB-TZSSRYMLSA-N
thymidine,DOXRIBTIMINE,IQFYYKKMVGJFEH,IQFYYKKMVGJFEH-XLPZGREQSA-N
ribose,RIBOSE (PYRANOSE),SRBFZHDQGSBBOR,SRBFZHDQGSBBOR-TXICZTDVSA-N
choline chloride,CHOLINE CHLORIDE,SGMZJAMFUVOLNK,SGMZJAMFUVOLNK-UHFFFAOYSA-M
liothyronine I 131,LIOTHYRONINE I 131,AUYYCJSJGJYCDS,AUYYCJSJGJYCDS-UMVFHIKJSA-N
Quinine sulfate,QUININE,LOUPRKONTZGTKE,LOUPRKONTZGTKE-WZBLMQSHSA-N
D-amphetamine,DEXTROAMPHETAMINE,KWTSXDURSIMDCE,KWTSXDURSIMDCE-QMMMGPOBSA-N
D-Amphetamine,DEXTROAMPHETAMINE,KWTSXDURSIMDCE,KWTSXDURSIMDCE-QMMMGPOBSA-N
9-cis-Retinoic Acid,ALITRETINOIN,SHGAZHPCJJPHSC,SHGAZHPCJJPHSC-ZVCIMWCZSA-N
Vidarabine,VIDARABINE,OIRDTQYFTABQOQ,OIRDTQYFTABQOQ-UHTZMRCNSA-N
Isotretinoin (Accutane),ISOTRETINOIN,SHGAZHPCJJPHSC,SHGAZHPCJJPHSC-XFYACQKRSA-N
I-131 Metaiodobenzylguanidine,IOBENGUANE I 131,PDWUPXJEEYOOTR,PDWUPXJEEYOOTR-JRGAVVOBSA-N
Racivir,"EMTRICITABINE, (+/-)-",XQSPYNMVSIKCOC,XQSPYNMVSIKCOC-UHFFFAOYSA-N
"ACH-126, 443 (beta-L-Fd4C)",ELVUCITABINE,HSBKFSPNDWWPSL,HSBKFSPNDWWPSL-VDTYLAMSSA-N
Capsaicin Patch,CAPSAICIN,YKPUWZUDDOIDPM,YKPUWZUDDOIDPM-SOFGYWHQSA-N
"ACH-126,443",ELVUCITABINE,HSBKFSPNDWWPSL,HSBKFSPNDWWPSL-VDTYLAMSSA-N
IV levofloxacin,LEVOFLOXACIN ANHYDROUS,GSDSWSVVBLHKDQ,GSDSWSVVBLHKDQ-JTQLQIEISA-N
tarenflurbil,TARENFLURBIL,SYTBZMRGLBWNTM,SYTBZMRGLBWNTM-SNVBAGLBSA-N
OGT 918,MIGLUSTAT,UQRORFVVSGFNRO,UQRORFVVSGFNRO-UTINFBMNSA-N
[131]I-MIBG,IOBENGUANE I 131,PDWUPXJEEYOOTR,PDWUPXJEEYOOTR-JRGAVVOBSA-N
Levofloxacin oral tablets,LEVOFLOXACIN ANHYDROUS,GSDSWSVVBLHKDQ,GSDSWSVVBLHKDQ-JTQLQIEISA-N
Methylphenidate-extended release,METHYLPHENIDATE,DUGOZIWVEXMGBE,DUGOZIWVEXMGBE-UHFFFAOYSA-N
Levofloxacin 750 mg IV,LEVOFLOXACIN ANHYDROUS,GSDSWSVVBLHKDQ,GSDSWSVVBLHKDQ-JTQLQIEISA-N
amlodipine (drug),AMLODIPINE,HTIQEAQVCYTUBX,HTIQEAQVCYTUBX-UHFFFAOYSA-N
Intravenous omeprazole infusion,OMEPRAZOLE,SUBDBMMJDZJVOS,SUBDBMMJDZJVOS-UHFFFAOYSA-N
LEVOCETIRIZINE,LEVOCETIRIZINE DIHYDROCHLORIDE,PGLIUCLTXOYQMV,PGLIUCLTXOYQMV-GHVWMZMZSA-N
dexamethasone (intrathecal),DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Vitamin A (retinyl palmitate),RETINOL,FPIPGXGPPPQFEQ,FPIPGXGPPPQFEQ-OVSJKPMPSA-N
Lansoprazole (Prevacid),LANSOPRAZOLE,MJIHNNLFOKEZEW,MJIHNNLFOKEZEW-UHFFFAOYSA-N
Doxil®,DOXORUBICIN HYDROCHLORIDE,MWWSFMDVAYGXBV,MWWSFMDVAYGXBV-RUELKSSGSA-N
Miglustat (Zavesca),MIGLUSTAT,UQRORFVVSGFNRO,UQRORFVVSGFNRO-UTINFBMNSA-N
"dexamethasone (50mg 1dd6, 3 consecutive days/month)",DEXAMETHASONE,UREBDLICKHMUKA,UREBDLICKHMUKA-CXSFZGCWSA-N
Levalbuterol (R albuterol),LEVOSALBUTAMOL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-LBPRGKRZSA-N
ketalar,KETAMINE,YQEZLKZALYSWHR,YQEZLKZALYSWHR-UHFFFAOYSA-N
albuterol (salbutamol),ALBUTEROL,NDAUXUAQIAJITI,NDAUXUAQIAJITI-UHFFFAOYSA-N
"Sorafenib (BAY43-9006, Nexavar)",SORAFENIB,MLDQJTXFUGDVEO,MLDQJTXFUGDVEO-UHFFFAOYSA-N
