molregno,gene
16450,PTGS1
51056,PTGS2
51056,PTGS1
674757,PTGS2
674757,PTGS1
675131,PTGS2
675131,PTGS1
123693,PTGS2
123693,PTGS1
1376006,PTGS2
1376006,PTGS1
77652,PTGS2
77652,PTGS1
1223,PTGS2
1223,PTGS1
11674,PTGS2
11674,PTGS1
986494,PTGS2
986494,PTGS1
161649,PTGS2
161649,PTGS1
119162,PTGS2
119162,PTGS1
2197547,PTGS2
2197547,PTGS1
2197625,PTGS2
2197625,PTGS1
1280,PTGS2
1280,PTGS1
674564,PTGS2
674564,PTGS1
674755,PTGS2
674755,PTGS1
674711,PTGS2
674711,PTGS1
173,PTGS2
173,PTGS1
1671238,PTGS2
1671238,PTGS1
16308,PTGS2
16308,PTGS1
675075,PTGS2
675075,PTGS1
16510,PTGS2
16510,PTGS1
674964,PTGS2
674964,PTGS1
2197281,PTGS2
2197281,PTGS1
674414,PTGS2
674414,PTGS1
29989,PTGS2
29989,PTGS1
33202,PTGS2
33202,PTGS1
675092,PTGS2
675092,PTGS1
139225,PTGS2
139225,PTGS1
12417,PTGS2
12417,PTGS1
