IK14,Disease,mendel_clinvar,mendel_ot_causal,mendel_max,depmap_dep_lin,depmap_selectivity,mi_raw,mi_within_disease_pct,mi_genetics,_depmap_has,_mi_route
KTEIFNKAUNYNJU,"Carcinoma, Non-Small-Cell Lung",1.0,0.0,1.0,-0.7763151208422485,0.1445978712817183,0.7763151208422485,1.0,0.0,1,depmap
KTEIFNKAUNYNJU,Non-Small Cell Lung Cancer,0.0,0.0,0.0,-0.7763151208422485,0.1445978712817183,0.7763151208422485,1.0,0.951883250002906,1,depmap
KTEIFNKAUNYNJU,Metastatic Uveal Melanoma,0.0,0.0,0.0,-0.7944140258060965,0.12649896631787028,0.7944140258060965,1.0,0.8930646439182859,1,depmap
CMSMOCZEIVJLDB,Follicular Lymphoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
CMSMOCZEIVJLDB,Breast Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.0,0,genetics
CMSMOCZEIVJLDB,Eosinophilic Granulomatosis With Polyangiitis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
CMSMOCZEIVJLDB,Graft-versus-host Disease (GVHD),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
CMSMOCZEIVJLDB,Multiple Sclerosis,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0,genetics
CMSMOCZEIVJLDB,Multiple Myeloma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
CMSMOCZEIVJLDB,"Glomerulonephritis, IGA",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
CMSMOCZEIVJLDB,severe aplastic anemia,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
CMSMOCZEIVJLDB,Ovarian Cancer,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
CMSMOCZEIVJLDB,Systemic Sclerosis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
CMSMOCZEIVJLDB,Triple Negative Breast Cancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
CMSMOCZEIVJLDB,AL Amyloidosis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
CMSMOCZEIVJLDB,Vasculitis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
FDKXTQMXEQVLRF,Hodgkin Lymphoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,genetics
JVHXJTBJCFBINQ,"Polycystic Kidney, Autosomal Dominant",0.0,0.0,0.0,-0.06212915646936647,0.004845939418117798,0.0,1.0,0.0,1,genetics
JVHXJTBJCFBINQ,"Renal Insufficiency, Chronic",1.0,0.0,1.0,-0.06212915646936647,0.004845939418117798,0.0,1.0,0.0,1,genetics
JVHXJTBJCFBINQ,Septic Shock,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
JVHXJTBJCFBINQ,Nephrotic Syndrome,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
JVHXJTBJCFBINQ,"Diabetes Mellitus, Type 1",0.0,0.0,0.0,0.0,0.0,0.4468139379746011,1.0,0.4468139379746011,0,genetics
JVHXJTBJCFBINQ,diabetic nephropathy,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
JVHXJTBJCFBINQ,inflammatory bowel disease,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
JVHXJTBJCFBINQ,Type 1 Diabetes Mellitus,0.0,0.0,0.0,0.0,0.0,0.4468139379746011,1.0,0.4468139379746011,0,genetics
JVHXJTBJCFBINQ,Breast Cancer,0.0,0.0,0.0,-0.07052173122647709,-0.0035466353389928262,0.07052173122647709,0.4230769230769231,0.0,1,depmap
JAUOIFJMECXRGI,Chronic Idiopathic Urticaria,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,genetics
UREBDLICKHMUKA,acute respiratory distress syndrome,0.0,0.0,0.0,0.0,0.0,0.3457606411416095,1.0,0.3457606411416095,0,genetics
