NCT_ID,Disease,y,p,p_adj,is_offmech
NCT06010693,insomnia,0,0.009456395434604251,0.009456395434604251,0
NCT05988671,Laparoscopic Cholecystectomy; Postoperative Nausea and Vomiting,0,0.3486455684366021,0.3486455684366021,0
NCT05763875,Hypercholesterolemia,0,0.00916095926666476,0.00916095926666476,0
NCT05692154,seasonal allergic rhinitis,0,0.25932323994873513,0.25932323994873513,0
NCT05690698,Hyperactive Delirium,0,0.3800414150665312,0.3800414150665312,0
NCT05754996,hepatic encephalopathy,0,0.3664725510706223,0.3664725510706223,0
NCT05794555,Cirrhosis,0,0.005620675228483226,0.005620675228483226,0
NCT06846307,traumatic brain injury,0,0.017214863748550475,0.017214863748550475,0
NCT06103188,Anxiety; Preoperative Anxiety,0,0.33273971845690103,0.33273971845690103,0
NCT05680129,T2DM; Type 2 Diabetes Mellitus,0,0.24187498525408038,0.24187498525408038,0
NCT06042855,Covid19,1,0.9919328401344008,0.9919328401344008,0
NCT06297954,upper gastrointestinal bleeding,0,0.4906875417629319,0.4906875417629319,0
NCT05458609,Alcohol Use Disorder,0,0.19129715441685247,0.19129715441685247,0
NCT06165679,hemodynamic instability,0,0.14567603356992417,0.14567603356992417,0
NCT06091436,Infertility,0,0.04048209288633456,0.04048209288633456,0
NCT06013345,atrial fibrillation,0,0.7124512058624055,0.7124512058624055,0
NCT05810038,migraine,0,0.02127947944192555,0.02127947944192555,0
NCT05779241,Schizophrenia; Schizoaffective Disorder,0,0.2892565280248672,0.2892565280248672,0
NCT05773846,Post-surgical Pain,0,0.5421267228280461,0.5421267228280461,0
NCT06103825,sleep apnea,0,0.5339805085557686,0.5339805085557686,0
NCT05753670,Postoperative Retention of Urine,0,0.4718686677639802,0.4718686677639802,0
NCT06135415,actinic keratosis,0,0.00633573438410068,0.00633573438410068,0
NCT06278402,Alopecia Areata; Alopecia Totalis; Alopecia Universalis,0,0.3130301835540158,0.3130301835540158,0
NCT06215820,Acute Pain; Post Operative Pain; Pain,0,0.12193735711011174,0.12193735711011174,0
NCT06215859,Acute Pain; Post Operative Pain; Pain,0,0.24504648254131003,0.24504648254131003,0
NCT05811676,"Hemorrhage, Postpartum; Placenta Previa",0,0.6472918809761378,0.6472918809761378,0
NCT06288685,pain,0,0.008831494971627342,0.008831494971627342,0
NCT06122649,plaque psoriasis,0,0.212909909044176,0.212909909044176,0
NCT05639946,neuropathic pain,0,0.5094019354733049,0.5094019354733049,0
NCT05174065,palmoplantar pustulosis,0,0.5477532537604713,0.5477532537604713,0
NCT05216263,chronic migraine,0,0.09165470520556111,0.09165470520556111,0
NCT05311475,seasonal allergic rhinitis,0,0.2691256460681303,0.2691256460681303,0
NCT05292586,asthma,0,0.1011403973393187,0.1011403973393187,0
NCT05656027,presbyopia,0,0.4567587842813746,0.4567587842813746,0
NCT05624151,pain,0,0.03319243537752288,0.03319243537752288,0
NCT05430217,Vertigo; Autonomic Dysfunction,0,0.6417113149075752,0.6417113149075752,0
NCT05485805,Pain,0,0.18319873219607025,0.18319873219607025,0
NCT05439616,autism spectrum disorder,0,0.2799244915505922,0.2799244915505922,0
NCT05439356,Ischemic stroke,1,0.7087043624303924,0.7087043624303924,0
NCT05196347,Chronic Kidney Diseases,0,0.9692539870054573,0.9692539870054573,0
NCT05438875,purpura,0,0.08327762667296372,0.08327762667296372,0
NCT05364190,Chronic Heart Failure; Acute Heart Failure; Diabetes Mellitus,0,0.2598599919459939,0.2598599919459939,0
NCT05950061,Major Depressive Disorder,0,0.11893844255495054,0.11893844255495054,0
NCT05617820,Dyspareunia,0,0.34223124326176474,0.34223124326176474,0
NCT05620641,Post Operative Nausea and Vomiting; Sleeve Gastrectomy; Morbid Obesity,0,0.680391293215897,0.680391293215897,0
NCT05323734,tuberous sclerosis,1,0.5248362122385961,0.5248362122385961,0
NCT05475665,Essential Hypertension,0,0.004362063969428726,0.004362063969428726,0
NCT05476354,Essential Hypertension,0,0.0032758647595135053,0.0032758647595135053,0
NCT03941860,Multiple Myeloma,0,0.016559051799327484,0.016559051799327484,0
NCT05233566,Postoperative Depression,0,0.3524602435508024,0.3524602435508024,0
NCT05291598,total hip arthroplasty,0,0.011010866616428009,0.011010866616428009,0
NCT05629390,blepharitis,0,0.4872155898231779,0.4872155898231779,0
NCT05167825,Pulmonary Arterial Hypertension,0,0.19147989451111982,0.19147989451111982,0
NCT05174416,hypertrophic cardiomyopathy,0,0.3435921894867995,0.3435921894867995,0
NCT05414175,cardiomyopathy,0,0.07647537383597333,0.07647537383597333,0
NCT05582395,cardiomyopathy,1,0.07281012488600327,0.07281012488600327,0
